"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelCarePlan","BeModelCarePlan","","","",0,*,"","","","null {[]} {[]}
","BeModelCarePlan","Logical model for Care Plan.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelCarePlan.identifier","BeModelCarePlan.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiers assigned to this care plan","Identifiers assigned to this care plan","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.identifier",0,*,"",""
"BeModelCarePlan.name","BeModelCarePlan.name","","","",0,1,"","","","string {[]} {[]}
","Human-readable name for the care plan","Human-readable name for the care plan","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.name",0,1,"",""
"BeModelCarePlan.category","BeModelCarePlan.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of plan","Type of plan","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.category",0,*,"",""
"BeModelCarePlan.basedOn","BeModelCarePlan.basedOn","","","",0,*,"","","","Reference {[]} {[]}
","Care plans that this care plan is based on","Care plans that this care plan is based on","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.basedOn",0,*,"",""
"BeModelCarePlan.partOf","BeModelCarePlan.partOf","","","",0,*,"","","","Reference {[]} {[]}
","Care plans that this care plan is part of","Care plans that this care plan is part of","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.partOf",0,*,"",""
"BeModelCarePlan.status","BeModelCarePlan.status","","","",0,1,"","","","code {[]} {[]}
","status of the care plan","status of the care plan","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.status",0,1,"",""
"BeModelCarePlan.description","BeModelCarePlan.description","","","",0,1,"","","","string {[]} {[]}
","Description of the care plan","Description of the care plan","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.description",0,1,"",""
"BeModelCarePlan.instantiates","BeModelCarePlan.instantiates","","","",0,*,"","","","Reference {[]} {[]}
","Protocol or definition that is instantiated by this care plan","Protocol or definition that is instantiated by this care plan","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.instantiates",0,*,"",""
"BeModelCarePlan.subject","BeModelCarePlan.subject","","","",0,1,"","","","Reference {[]} {[]}
","Who care plan is for","Who care plan is for","","","","","","","","","",,,,,"",,,,"BeModelCarePlan.subject",0,1,"",""
