"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelCareTeam","BeModelCareTeam","","","",0,*,"","","","null {[]} {[]}
","BeModelCareTeam","Logical model for Care Teams.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelCareTeam.name","BeModelCareTeam.name","","","",0,1,"","","","string {[]} {[]}
","Name of the care team","Name of the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.name",0,1,"",""
"BeModelCareTeam.identifier","BeModelCareTeam.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifiers of the care team","Business identifiers of the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.identifier",0,*,"",""
"BeModelCareTeam.category","BeModelCareTeam.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of team","Type of team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.category",0,*,"",""
"BeModelCareTeam.status","BeModelCareTeam.status","","","",0,1,"","","","code {[]} {[]}
","Status of the care team","Status of the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.status",0,1,"",""
"BeModelCareTeam.subject","BeModelCareTeam.subject","","","",0,1,"","","","Reference {[]} {[]}
","the subject of care for the care team","the subject of care for the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.subject",0,1,"",""
"BeModelCareTeam.period","BeModelCareTeam.period","","","",0,1,"","","","Period {[]} {[]}
","Time period of the care team","Time period of the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.period",0,1,"",""
"BeModelCareTeam.participant","BeModelCareTeam.participant","","","",0,*,"","","","BackboneElement {[]} {[]}
","Members of the care team","Members of the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.participant",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelCareTeam.participant.id","BeModelCareTeam.participant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelCareTeam.participant.extension","BeModelCareTeam.participant.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelCareTeam.participant.modifierExtension","BeModelCareTeam.participant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelCareTeam.participant.role","BeModelCareTeam.participant.role","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Role of the team member","Role of the team member","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.participant.role",0,1,"",""
"BeModelCareTeam.participant.member","BeModelCareTeam.participant.member","","","",1,1,"","","","Reference {[]} {[]}
","Who is involved","Who is involved","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.participant.member",1,1,"",""
"BeModelCareTeam.participant.period","BeModelCareTeam.participant.period","","","",0,1,"","","","Period {[]} {[]}
","Time period of the membership","Time period of the membership","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.participant.period",0,1,"",""
"BeModelCareTeam.managingOrganization","BeModelCareTeam.managingOrganization","","","",0,1,"","","","Reference {[]} {[]}
","Organization responsible for the care team","Organization responsible for the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.managingOrganization",0,1,"",""
"BeModelCareTeam.contact","BeModelCareTeam.contact","","","",0,*,"","","","ContactPoint {[]} {[]}
","Contact details for the care team","Contact details for the care team","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.contact",0,*,"",""
"BeModelCareTeam.note","BeModelCareTeam.note","","","",0,*,"","","","string {[]} {[]}
","Additional notes","Additional notes","","","","","","","","","",,,,,"",,,,"BeModelCareTeam.note",0,*,"",""
