Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-care.json	5193	-	0	0	0	0	0	0	13	89	0	0	0	0	0	0	0	1	0	0	71	87	0	0	0	4	0	1
fsh-generated/resources/Patient-patient1.json	496	29	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BeModelCarePlan.json	7581	22	0	26	1	0	0	1	0	79	0	0	1	0	0	0	0	0	0	0	99	687	0	1	0	6	1	0
fsh-generated/resources/StructureDefinition-BeModelCareTeam.json	5086	6	0	37	0	0	0	0	0	50	0	0	0	0	0	0	0	1	0	0	66	241	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelGoal.json	2004	6	0	43	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	30	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeModelTask.json	2447	5	0	42	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	32	94	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-be-care-plan.json	7042	7	0	115	0	0	0	0	1	25	0	0	0	0	0	0	0	1	0	0	265	496	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-be-careteam.json	4313	5	0	70	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	130	265	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-be-goal.json	1928	5	0	71	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	110	270	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-be-task.json	4145	6	0	86	1	0	0	0	0	29	0	0	1	0	0	0	0	1	0	0	171	391	0	0	0	9	0	1
