Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-care.json	5193	-	0	0	0	0	0	0	10	104	0	0	0	0	0	0	0	1	0	0	114	82	0	0	0	3	0	1
fsh-generated/resources/Patient-patient1.json	496	26	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	25	22	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BeModelCarePlan.json	7581	26	0	25	0	0	0	0	0	80	0	0	1	0	0	0	0	0	0	0	144	736	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-BeModelCareTeam.json	5086	5	0	25	1	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	102	268	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelGoal.json	2004	5	0	25	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	48	186	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeModelTask.json	2447	2	0	25	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	73	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-be-care-plan.json	7042	5	0	90	0	0	0	0	1	69	0	0	0	0	0	0	0	3	0	0	218	390	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-be-careteam.json	4313	5	0	43	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	104	174	0	1	0	6	0	0
fsh-generated/resources/StructureDefinition-be-goal.json	1928	3	0	52	0	0	0	0	0	40	0	0	0	0	0	0	0	2	0	0	95	200	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-be-task.json	4145	3	0	70	0	0	0	0	1	40	0	0	0	0	0	0	0	1	0	0	154	274	0	0	0	8	0	1
